interval,threads,rate,MB/sec,bytes/io,read%,resp,read_resp,write_resp,resp_max,read_max,write_max,resp_std,queue_depth,cpu_used,cpu_user
1,4,90017,1406.5156,16384,49.8872,1.1478,0.3715,1.9207,11.398,2.657,11.398,0.909,103.4355,11.2994,6.9124
2,4,103718,1620.5938,16384,49.9479,1.1615,0.3793,1.9421,12.852,2.595,12.852,0.8796,120.4675,7.8352,2.3141
3,4,106794,1668.6562,16384,49.6704,1.1556,0.3785,1.9224,10.601,2.643,10.601,0.8564,123.4148,6.6025,1.3454
4,4,106679,1666.8594,16384,50.0558,1.1566,0.3801,1.9349,12.625,2.551,12.625,0.8679,123.365,6.7619,1.5522
5,4,106694,1667.0938,16384,49.8603,1.1571,0.377,1.9328,5.942,2.725,5.942,0.8543,123.4816,6.4882,1.2494
6,4,106764,1668.1875,16384,50.0234,1.1563,0.3798,1.9335,13.428,2.669,13.428,0.8769,123.4295,6.7908,1.3617
7,4,106382,1662.2188,16384,50.0874,1.1606,0.3754,1.9485,15.688,2.681,15.688,0.9206,123.4726,6.1194,0.9559
8,4,107175,1674.6094,16384,49.9081,1.1522,0.378,1.9235,6.6,2.564,6.6,0.8484,123.4856,5.9956,0.8323
9,4,107141,1674.0781,16384,49.9342,1.1536,0.3749,1.9302,8.953,2.466,8.953,0.8543,123.6099,5.9049,0.7414
10,4,106780,1668.4375,16384,49.8127,1.1607,0.3766,1.9389,11.594,2.54,11.594,0.8738,123.9463,5.8724,0.8377
11,4,106332,1661.4375,16384,50.1871,1.1582,0.3817,1.9405,20.151,20.151,18.893,0.9147,123.1352,6.2523,0.9522
12,4,106793,1668.6406,16384,50.169,1.1556,0.3795,1.9369,12.064,2.732,12.064,0.8781,123.4048,6.4291,1.0208
13,4,106903,1670.3594,16384,49.7058,1.1557,0.3789,1.9234,11.278,11.278,5.929,0.8509,123.54,5.8898,0.7954
14,4,107192,1674.875,16384,50.0961,1.1532,0.376,1.9334,13.189,7.466,13.189,0.8781,123.6253,6.1395,0.946
15,4,105982,1655.9688,16384,49.715,1.1654,0.3795,1.9424,11.41,11.41,6.735,0.8634,123.5005,6.0078,0.9194
16,4,106528,1664.5,16384,49.8967,1.1594,0.3819,1.9338,11.376,2.518,11.376,0.8543,123.519,6.3498,0.8829
17,4,107359,1677.4844,16384,49.8477,1.1514,0.3778,1.9204,10.248,2.677,10.248,0.8537,123.6096,6.2021,0.8567
18,4,106859,1669.6719,16384,50.0491,1.1558,0.3769,1.9362,12.689,2.391,12.689,0.8726,123.5083,6.0477,0.8218
19,4,106587,1665.4219,16384,49.7978,1.1602,0.379,1.9352,7.257,2.801,7.257,0.8622,123.6649,5.9559,0.8113
20,4,106817,1669.0156,16384,49.9256,1.1563,0.3756,1.9348,11.414,2.444,11.414,0.8686,123.5193,5.8692,0.7582
21,4,106537,1664.6406,16384,50.0427,1.1602,0.3849,1.9368,16.129,15.191,16.129,0.9098,123.6179,6.0145,0.7842
